time_of_day,value,date,time,GlobalR,DirectR,DiffuseR,AirT,CellT,WS,WD,P,RH,daylight_level
09:30:00,0.183913,2021-01-04,2021-01-04 09:30:00,97.4333,74.4855,22.1667,-16.5,-20.4483,0.0,219.617,892.594,72.9383,低
09:35:00,0.260236,2021-01-04,2021-01-04 09:35:00,135.517,103.632,19.75,-15.8633,-19.7233,0.0,220.65,892.56,73.185,低
09:40:00,0.328012,2021-01-04,2021-01-04 09:40:00,173.85,132.919,26.85,-15.585,-18.5767,0.0,221.083,892.505,71.4867,低
09:45:00,0.403878,2021-01-04,2021-01-04 09:45:00,213.15,162.996,39.3167,-15.1183,-17.0883,0.0,273.333,892.45,70.8783,低
09:50:00,0.46449,2021-01-04,2021-01-04 09:50:00,247.25,189.057,52.35,-14.715,-15.5133,0.0,308.567,892.411,69.67,低
09:55:00,0.525689,2021-01-04,2021-01-04 09:55:00,281.0,214.889,67.6667,-14.5,-14.22,0.0,308.8,892.388,67.595,低
10:00:00,0.58252,2021-01-04,2021-01-04 10:00:00,311.3,238.081,82.8667,-14.3283,-13.085,0.0,309.0,892.285,66.165,低
10:05:00,0.630827,2021-01-04,2021-01-04 10:05:00,342.533,262.013,90.4667,-14.0767,-11.9283,0.0,309.917,892.262,65.03,低
10:10:00,0.683396,2021-01-04,2021-01-04 10:10:00,370.8,283.637,94.0833,-13.9167,-10.72,0.0,309.9,892.363,64.47,低
10:15:00,0.780009,2021-01-04,2021-01-04 10:15:00,397.267,303.883,96.9833,-13.59,-9.41,0.0,311.0,892.292,64.38,低
10:20:00,1.28296,2021-01-04,2021-01-04 10:20:00,421.333,322.294,99.3833,-13.165,-8.17333,0.0,310.667,892.371,64.105,低
10:25:00,2.27183,2021-01-04,2021-01-04 10:25:00,448.183,342.771,102.4,-12.975,-7.91166,0.0,311.8,892.375,63.255,低
10:30:00,3.33742,2021-01-04,2021-01-04 10:30:00,471.6,360.723,104.767,-12.9167,-7.7,0.0,324.75,892.438,62.0983,低
10:35:00,3.93343,2021-01-04,2021-01-04 10:35:00,492.083,376.405,106.917,-12.665,-6.405,0.0,330.583,892.438,61.2583,低
10:40:00,4.1089,2021-01-04,2021-01-04 10:40:00,514.333,393.44,108.75,-12.7,-5.91667,0.0,341.0,892.534,60.3667,低
10:45:00,4.29218,2021-01-04,2021-01-04 10:45:00,535.85,409.862,110.483,-12.69,-4.91167,0.0,341.0,892.487,60.175,低
10:50:00,4.46836,2021-01-04,2021-01-04 10:50:00,555.7,425.072,111.583,-12.605,-4.005,0.0,341.217,892.455,59.9233,低
10:55:00,4.62464,2021-01-04,2021-01-04 10:55:00,571.667,437.274,112.283,-12.5,-3.03333,0.0,341.733,892.485,59.8267,低
11:00:00,4.8065,2021-01-04,2021-01-04 11:00:00,589.3,450.776,113.25,-11.8567,-0.89,0.0,302.133,892.46,58.505,低
11:05:00,4.96563,2021-01-04,2021-01-04 11:05:00,607.15,464.457,113.45,-11.65,-0.0783334,0.0,145.767,892.456,56.9,低
