time_of_day,value,date,time,GlobalR,DirectR,DiffuseR,AirT,CellT,WS,WD,P,RH,daylight_level
09:00:00,0.0288053,2021-02-07,2021-02-07 09:00:00,0.0,0.0,0.0,-5.86,-8.52667,0.0,256.0,883.05,28.4266,中
09:05:00,0.0651173,2021-02-07,2021-02-07 09:05:00,10.3833,7.9305,0.0,-5.92,-8.29333,0.0,256.0,883.183,28.6334,中
09:10:00,0.101395,2021-02-07,2021-02-07 09:10:00,18.2833,13.9357,8.78333,-5.6,-8.185,0.0,256.0,883.287,28.3683,中
09:15:00,0.134858,2021-02-07,2021-02-07 09:15:00,21.7833,16.626,15.65,-4.28833,-8.05667,0.0,256.0,883.325,27.9217,中
09:20:00,0.174242,2021-02-07,2021-02-07 09:20:00,29.5333,22.5548,21.4333,-2.15667,-7.66,0.0,256.0,883.396,24.4267,中
09:25:00,0.22673,2021-02-07,2021-02-07 09:25:00,36.6833,28.05,27.6667,-2.59667,-7.47166,0.0,59.8333,883.472,23.7883,中
09:30:00,0.292656,2021-02-07,2021-02-07 09:30:00,44.85,34.2847,34.2333,-5.105,-7.36666,0.00166667,54.6667,883.581,26.3583,中
09:35:00,0.36204,2021-02-07,2021-02-07 09:35:00,53.55,40.9148,40.8,-6.01167,-7.28,0.0,60.0333,883.688,28.79,中
09:40:00,0.447768,2021-02-07,2021-02-07 09:40:00,65.35,49.9545,46.4167,-5.71,-6.74333,0.0,163.183,883.801,29.3317,中
09:45:00,0.569194,2021-02-07,2021-02-07 09:45:00,87.8833,67.1288,51.2333,-5.40833,-6.50833,0.0,305.983,883.837,29.4583,中
09:50:00,0.794793,2021-02-07,2021-02-07 09:50:00,104.233,79.6875,51.3167,-4.97833,-6.09,0.0,254.15,883.875,29.305,中
09:55:00,1.34012,2021-02-07,2021-02-07 09:55:00,252.933,192.984,80.25,-4.74167,-5.26,0.0,210.967,883.875,28.48,中
10:00:00,2.09367,2021-02-07,2021-02-07 10:00:00,372.4,284.491,100.617,-4.09666,-3.085,0.0,230.233,884.043,28.28,中
10:05:00,2.89388,2021-02-07,2021-02-07 10:05:00,433.033,331.092,107.517,-3.54167,-0.436667,0.0,241.45,884.037,27.265,中
10:10:00,3.38881,2021-02-07,2021-02-07 10:10:00,456.033,348.789,108.283,-3.03167,2.12167,0.0,240.983,884.019,27.9133,中
10:15:00,3.71225,2021-02-07,2021-02-07 10:15:00,482.85,369.266,110.7,-1.96,4.675,0.0,240.0,884.068,25.7867,中
10:20:00,3.91734,2021-02-07,2021-02-07 10:20:00,508.417,388.939,112.8,-1.475,6.91167,0.0,240.117,884.15,25.2317,中
10:25:00,4.11943,2021-02-07,2021-02-07 10:25:00,520.183,397.902,111.8,-0.983334,9.16333,0.0,240.933,884.155,25.1767,中
10:30:00,4.29995,2021-02-07,2021-02-07 10:30:00,542.75,415.102,112.733,-0.208333,11.3833,0.0,241.0,884.18,24.4333,中
10:35:00,4.48348,2021-02-07,2021-02-07 10:35:00,565.733,432.735,114.083,0.508334,13.5083,0.0,241.0,884.249,23.535,中
10:40:00,4.66651,2021-02-07,2021-02-07 10:40:00,580.367,443.802,114.5,1.16167,15.3667,0.0,241.117,884.282,23.4983,中
10:45:00,4.79789,2021-02-07,2021-02-07 10:45:00,584.767,447.155,113.6,2.035,16.92,0.0,295.35,884.265,22.4783,中
10:50:00,4.95335,2021-02-07,2021-02-07 10:50:00,614.35,469.978,116.35,2.13167,15.9817,0.0,302.0,884.248,22.5917,中
10:55:00,5.12885,2021-02-07,2021-02-07 10:55:00,632.25,483.608,116.483,1.865,15.7283,0.0,303.283,884.305,23.04,中
11:00:00,5.32893,2021-02-07,2021-02-07 11:00:00,653.483,499.876,117.6,2.0,15.78,0.0,305.383,884.391,22.7067,中
11:05:00,5.50193,2021-02-07,2021-02-07 11:05:00,669.2,511.798,118.467,2.115,16.1067,0.0,299.433,884.35,22.8517,中
11:10:00,5.66089,2021-02-07,2021-02-07 11:10:00,686.933,525.44,120.333,2.37833,16.66,0.0,304.217,884.318,22.645,中
11:15:00,5.81283,2021-02-07,2021-02-07 11:15:00,700.483,535.806,122.55,2.655,18.3583,0.0,304.65,884.323,22.24,中
11:20:00,5.93469,2021-02-07,2021-02-07 11:20:00,706.633,540.536,125.333,3.085,20.2067,0.0,305.9,884.4,21.5683,中
11:25:00,5.99286,2021-02-07,2021-02-07 11:25:00,718.867,550.112,129.833,3.44667,21.3817,0.0,306.017,884.38,20.985,中
11:30:00,5.91838,2021-02-07,2021-02-07 11:30:00,610.183,466.255,117.133,3.73833,22.2183,0.0,306.65,884.36,20.4917,中
11:35:00,5.95448,2021-02-07,2021-02-07 11:35:00,705.65,539.708,128.8,4.20667,23.0617,0.0,306.933,884.348,19.9283,中
11:40:00,6.11846,2021-02-07,2021-02-07 11:40:00,745.267,569.747,139.85,5.11,25.3,0.0,307.0,884.373,18.965,中
11:45:00,6.52891,2021-02-07,2021-02-07 11:45:00,792.3,605.587,174.333,6.065,27.4817,0.0,306.05,884.37,17.6017,中
11:50:00,6.40021,2021-02-07,2021-02-07 11:50:00,728.617,559.1,216.717,7.05166,30.0633,0.0,304.25,884.354,16.545,中
11:55:00,6.31274,2021-02-07,2021-02-07 11:55:00,667.133,507.195,270.983,6.91167,29.5717,0.0,307.567,884.282,15.835,中
12:00:00,5.43748,2021-02-07,2021-02-07 12:00:00,551.017,422.242,288.5,6.51833,29.1033,0.0,310.5,884.3,15.8683,中
12:05:00,4.71116,2021-02-07,2021-02-07 12:05:00,437.967,335.095,284.117,6.60167,27.4883,0.0,311.0,884.285,15.7367,中
12:10:00,3.73156,2021-02-07,2021-02-07 12:10:00,355.983,272.174,278.317,6.47667,24.7617,0.0,312.133,884.328,15.7917,中
12:15:00,3.62407,2021-02-07,2021-02-07 12:15:00,390.433,298.63,292.633,6.56834,22.4533,0.0,313.4,884.353,15.655,中
12:20:00,3.97713,2021-02-07,2021-02-07 12:20:00,507.717,388.492,315.133,6.57,21.4817,0.0,332.767,884.35,15.8033,中
12:25:00,4.22233,2021-02-07,2021-02-07 12:25:00,463.3,354.526,307.567,6.67333,20.765,0.0,343.333,884.332,15.7417,中
12:30:00,4.09987,2021-02-07,2021-02-07 12:30:00,417.15,319.464,304.133,6.5,20.4333,0.0,178.25,884.285,16.3383,中
12:35:00,3.70523,2021-02-07,2021-02-07 12:35:00,395.267,302.328,307.733,6.35167,19.335,0.0,139.333,884.337,16.455,中
12:40:00,3.87121,2021-02-07,2021-02-07 12:40:00,461.1,351.9,334.167,5.95333,17.5683,0.0,95.55,884.327,16.8283,中
12:45:00,3.90882,2021-02-07,2021-02-07 12:45:00,449.15,344.059,318.433,5.71834,16.9117,0.0,116.033,884.31,16.8483,中
12:50:00,3.92938,2021-02-07,2021-02-07 12:50:00,391.0,299.039,297.483,5.51166,16.065,0.0,49.1667,884.315,16.975,中
12:55:00,3.8815,2021-02-07,2021-02-07 12:55:00,441.967,337.633,322.683,5.49167,15.795,0.0,22.7,884.295,16.9767,中
13:00:00,4.22197,2021-02-07,2021-02-07 13:00:00,510.4,390.622,352.55,5.77,16.2967,0.0,24.0,884.21,16.6783,中
13:05:00,4.5765,2021-02-07,2021-02-07 13:05:00,525.467,401.332,356.667,5.93333,16.915,0.0,24.75,884.16,16.4433,中
13:10:00,4.51456,2021-02-07,2021-02-07 13:10:00,479.067,367.353,346.433,6.01833,17.4417,0.0,25.1667,884.178,16.16,中
13:15:00,4.06628,2021-02-07,2021-02-07 13:15:00,399.1,304.954,318.167,6.03167,16.87,0.0,43.35,884.166,16.015,中
13:20:00,3.7288,2021-02-07,2021-02-07 13:20:00,401.567,306.612,303.033,6.02667,15.37,0.0,51.1667,884.16,15.75,中
13:25:00,3.5573,2021-02-07,2021-02-07 13:25:00,409.283,313.421,288.033,6.00167,14.515,0.0,42.8667,884.152,15.9033,中
13:30:00,3.67813,2021-02-07,2021-02-07 13:30:00,426.417,326.732,304.583,6.14334,14.37,0.0,151.133,884.188,15.935,中
13:35:00,3.69509,2021-02-07,2021-02-07 13:35:00,407.033,311.852,315.183,6.33,14.4817,0.0,84.55,884.177,15.9617,中
