time_of_day,value,date,time,GlobalR,DirectR,DiffuseR,AirT,CellT,WS,WD,P,RH,daylight_level
07:00:00,0.0474681,2021-05-09,2021-05-09 07:00:00,16.9167,12.9285,18.3667,14.7767,12.6883,0.0,139.65,873.353,22.8233,非常高
07:05:00,0.0898428,2021-05-09,2021-05-09 07:05:00,21.55,16.4857,22.2667,15.1167,13.0067,0.0,140.35,873.417,22.4867,非常高
07:10:00,0.133932,2021-05-09,2021-05-09 07:10:00,26.3667,20.1578,25.1333,15.365,13.4,0.0,143.983,873.477,22.2667,非常高
07:15:00,0.175596,2021-05-09,2021-05-09 07:15:00,33.15,25.3343,32.7333,15.665,13.74,0.0,150.733,873.518,21.51,非常高
07:20:00,0.225801,2021-05-09,2021-05-09 07:20:00,42.55,32.5253,46.3667,15.8283,14.1217,0.0,149.85,873.589,21.1117,非常高
07:25:00,0.282802,2021-05-09,2021-05-09 07:25:00,51.25,39.168,59.9833,15.88,14.535,0.0,149.0,873.693,21.265,非常高
07:30:00,0.339642,2021-05-09,2021-05-09 07:30:00,59.2,45.2243,72.3,15.8217,14.9983,0.0,149.0,873.827,21.44,非常高
07:35:00,0.397511,2021-05-09,2021-05-09 07:35:00,65.0,49.6867,81.9667,15.9017,15.5067,0.0,54.0667,873.918,21.22,非常高
07:40:00,0.457956,2021-05-09,2021-05-09 07:40:00,73.9833,56.5845,95.2667,16.2767,16.1333,0.0,30.45,873.935,20.7733,非常高
07:45:00,0.520947,2021-05-09,2021-05-09 07:45:00,79.55,60.843,102.317,16.2367,16.66,0.0,143.717,873.978,20.6717,非常高
07:50:00,0.583293,2021-05-09,2021-05-09 07:50:00,84.1167,64.3237,107.233,16.17,17.2933,0.0,253.083,874.064,20.9917,非常高
07:55:00,0.651386,2021-05-09,2021-05-09 07:55:00,89.3833,68.3655,113.3,16.5917,18.0267,0.0,227.283,874.13,21.4967,非常高
08:00:00,0.735129,2021-05-09,2021-05-09 08:00:00,98.2,75.0592,120.917,17.2183,18.9133,0.0,241.183,874.128,20.6683,非常高
08:05:00,0.841437,2021-05-09,2021-05-09 08:05:00,115.3,88.1662,133.217,17.965,19.8933,0.0,239.5,874.172,19.865,非常高
08:10:00,0.973319,2021-05-09,2021-05-09 08:10:00,139.917,106.973,144.583,18.9083,20.995,0.0,248.0,874.282,19.0917,非常高
08:15:00,1.10721,2021-05-09,2021-05-09 08:15:00,160.617,122.808,150.983,19.585,21.8117,0.0,264.35,874.355,18.7033,非常高
08:20:00,1.2436,2021-05-09,2021-05-09 08:20:00,180.567,137.968,158.633,19.275,22.185,0.0,174.567,874.357,18.2417,非常高
08:25:00,1.38086,2021-05-09,2021-05-09 08:25:00,205.383,156.978,171.6,19.41,22.355,0.0,17.4167,874.403,18.5367,非常高
08:30:00,1.50844,2021-05-09,2021-05-09 08:30:00,219.25,167.777,175.283,19.6117,22.6433,0.0,240.6,874.411,19.1633,非常高
08:35:00,1.63003,2021-05-09,2021-05-09 08:35:00,238.533,182.414,180.583,19.475,22.8517,0.0,26.5833,874.448,19.825,非常高
08:40:00,1.7306,2021-05-09,2021-05-09 08:40:00,245.733,187.973,177.217,19.3834,23.1967,0.0,120.933,874.564,19.785,非常高
08:45:00,1.84017,2021-05-09,2021-05-09 08:45:00,261.133,199.767,177.95,19.18,22.8717,0.0666667,37.3667,874.627,19.9417,非常高
08:50:00,1.97065,2021-05-09,2021-05-09 08:50:00,280.583,214.48,183.117,18.965,22.9017,0.005,83.1333,874.686,20.2967,非常高
08:55:00,2.1252,2021-05-09,2021-05-09 08:55:00,308.45,235.913,192.25,19.0917,23.2233,0.01,49.4667,874.67,20.39,非常高
09:00:00,2.3028,2021-05-09,2021-05-09 09:00:00,326.7,249.785,198.25,19.205,23.4917,0.261667,55.6167,874.705,19.9583,非常高
09:05:00,2.47755,2021-05-09,2021-05-09 09:05:00,348.667,266.615,207.067,19.4167,24.02,0.0916667,59.5667,874.67,19.335,非常高
09:10:00,2.63433,2021-05-09,2021-05-09 09:10:00,360.633,275.846,214.0,20.0483,25.3467,0.0333333,60.9167,874.645,18.34,非常高
09:15:00,2.61589,2021-05-09,2021-05-09 09:15:00,353.8,270.644,213.633,20.4967,26.2133,0.025,48.45,874.695,17.2383,非常高
09:20:00,2.60375,2021-05-09,2021-05-09 09:20:00,332.7,254.133,210.967,20.6266,26.655,0.05,89.1333,874.728,16.9767,非常高
09:25:00,2.66405,2021-05-09,2021-05-09 09:25:00,334.833,255.561,218.1,20.4484,26.3,0.0566667,71.3833,874.7,17.9167,非常高
09:30:00,3.00721,2021-05-09,2021-05-09 09:30:00,431.533,330.199,256.233,20.6467,26.7783,0.11,66.1667,874.66,18.395,非常高
09:35:00,3.3174,2021-05-09,2021-05-09 09:35:00,447.417,342.414,266.033,21.01,28.365,0.116667,81.7,874.65,18.04,非常高
09:40:00,3.53574,2021-05-09,2021-05-09 09:40:00,440.533,337.097,267.317,21.0683,28.59,0.598333,59.05,874.711,18.2433,非常高
09:45:00,3.47946,2021-05-09,2021-05-09 09:45:00,393.567,301.193,255.35,20.9967,27.88,1.535,53.3667,874.743,18.3817,非常高
09:50:00,3.40422,2021-05-09,2021-05-09 09:50:00,388.367,297.904,258.25,21.06,27.6333,0.771667,58.0167,874.743,18.6017,非常高
09:55:00,3.4914,2021-05-09,2021-05-09 09:55:00,472.05,360.761,292.233,21.0483,27.38,1.48667,71.3,874.804,18.135,非常高
10:00:00,3.67566,2021-05-09,2021-05-09 10:00:00,491.05,375.819,310.333,21.2533,27.705,3.48167,54.6,874.805,17.51,非常高
10:05:00,3.80389,2021-05-09,2021-05-09 10:05:00,474.55,363.209,316.85,21.2134,27.81,1.29333,61.1333,874.812,17.76,非常高
10:10:00,3.77764,2021-05-09,2021-05-09 10:10:00,470.117,359.907,330.1,21.4267,28.6467,1.69,58.3833,874.88,17.92,非常高
10:15:00,3.87172,2021-05-09,2021-05-09 10:15:00,503.717,384.91,347.75,21.5567,28.59,2.83833,63.6833,874.943,18.4817,非常高
10:20:00,4.11997,2021-05-09,2021-05-09 10:20:00,540.467,413.177,368.617,21.5317,28.4983,2.78,55.7667,874.98,19.205,非常高
10:25:00,4.20669,2021-05-09,2021-05-09 10:25:00,521.467,398.871,365.733,21.545,28.2933,4.31333,54.3167,875.087,19.9017,非常高
10:30:00,4.23515,2021-05-09,2021-05-09 10:30:00,539.6,412.756,374.317,21.4967,28.1933,3.905,56.6833,875.04,20.7417,非常高
10:35:00,4.27714,2021-05-09,2021-05-09 10:35:00,496.75,380.128,363.417,21.455,28.5233,1.53833,63.9,875.042,21.28,非常高
10:40:00,4.6923,2021-05-09,2021-05-09 10:40:00,633.067,484.462,408.833,21.8467,30.34,0.868333,112.7,875.006,21.22,非常高
10:45:00,4.876,2021-05-09,2021-05-09 10:45:00,531.767,407.771,388.4,22.2783,31.7217,2.58167,78.2333,875.027,21.16,非常高
10:50:00,5.03424,2021-05-09,2021-05-09 10:50:00,586.35,448.15,412.533,22.1617,30.6633,1.61167,76.9333,875.03,22.2033,非常高
10:55:00,4.97154,2021-05-09,2021-05-09 10:55:00,608.55,465.209,423.95,22.6067,31.6733,2.21167,68.7,875.025,22.1367,非常高
11:00:00,5.11376,2021-05-09,2021-05-09 11:00:00,597.0,458.605,422.95,22.7933,31.2083,2.3,71.5833,874.948,22.8467,非常高
11:05:00,5.36174,2021-05-09,2021-05-09 11:05:00,645.2,492.813,460.45,23.0383,31.6667,1.99167,80.6833,874.948,23.065,非常高
11:10:00,5.54147,2021-05-09,2021-05-09 11:10:00,718.933,552.203,495.333,23.5667,33.47,2.50333,80.3167,874.9,22.9883,非常高
11:15:00,5.27926,2021-05-09,2021-05-09 11:15:00,521.1,400.439,435.7,23.47,32.7383,2.535,86.2167,874.883,23.695,非常高
11:20:00,4.48672,2021-05-09,2021-05-09 11:20:00,377.05,288.609,360.1,23.2083,30.8333,1.96833,94.8167,874.867,24.64,非常高
11:25:00,4.42431,2021-05-09,2021-05-09 11:25:00,527.55,401.676,415.433,23.365,30.0967,1.71833,93.2167,874.887,25.1267,非常高
11:30:00,4.96876,2021-05-09,2021-05-09 11:30:00,700.65,535.691,451.933,24.2133,32.6167,1.925,81.3333,874.827,24.6867,非常高
11:35:00,6.05824,2021-05-09,2021-05-09 11:35:00,792.183,605.268,469.4,24.6817,34.5133,1.91,87.2333,874.797,24.3767,非常高
11:40:00,6.2698,2021-05-09,2021-05-09 11:40:00,751.2,575.0,465.25,24.8917,35.0983,3.26333,65.6667,874.789,23.8783,非常高
11:45:00,5.96685,2021-05-09,2021-05-09 11:45:00,638.233,488.503,431.483,24.8067,34.4567,3.82167,73.5333,874.792,24.05,非常高
11:50:00,5.52996,2021-05-09,2021-05-09 11:50:00,612.617,468.665,400.95,24.7034,34.0167,1.24667,75.8333,874.81,24.6017,非常高
11:55:00,5.50011,2021-05-09,2021-05-09 11:55:00,763.8,583.351,408.017,25.1933,34.6433,3.19167,72.55,874.858,24.3533,非常高
12:00:00,6.05109,2021-05-09,2021-05-09 12:00:00,803.133,614.359,399.417,25.56,35.7267,2.805,64.2833,874.868,23.6333,非常高
12:05:00,6.65416,2021-05-09,2021-05-09 12:05:00,865.167,661.61,423.117,25.6533,35.6117,4.28167,51.45,874.853,23.5983,非常高
12:10:00,6.78778,2021-05-09,2021-05-09 12:10:00,804.65,616.922,451.883,25.5617,36.2683,2.975,59.9167,874.785,23.8517,非常高
12:15:00,6.083,2021-05-09,2021-05-09 12:15:00,536.517,411.468,425.2,25.5533,35.17,2.99833,65.8,874.738,23.5717,非常高
12:20:00,4.91252,2021-05-09,2021-05-09 12:20:00,417.133,319.464,389.533,25.2866,33.5817,2.14833,62.9667,874.738,23.8,非常高
